year,from,to,q999,max
2021,PL,DE,2103.0065333333305,2346.49
2021,PL,LT,488.0470972540046,490.43
2021,DK,NO,1633.0020741960786,1633.35
2021,RU,FI,0,0
2021,SE,LT,684.2677872115385,699.72
2021,LT,SE,734.29158876,734.42
2021,SK,UA,513.4550799999986,620.4
2021,UA,BY,615.7570886274506,706
2021,UA,RU,1151.3015918367335,1322
2021,UA,RO,612.5022222222227,665
2021,NL,NO,706.5515565656566,706.86
2021,ME,RS,202.0617503663,267.38
2021,BG,RS,236.32659999999896,293.26
2021,SI,IT,532.5947968944087,652.82
2021,IT,FR,3643.7533043478243,3886
2021,RO,RS,553.7101267368413,591.17
2021,AT,DE,3346.3802423905554,3784.95
2021,DE,CH,2779.387586183558,3025.57
2021,NO,FI,54.96950111111103,63.1
2021,EE,RU,571.7196380952432,686.8
2021,IT,CH,4794.618273291922,5023
2021,MD,UA,224.63125490195995,316
2021,RO,MD,0,0
2021,BG,TR,277.3684615384613,314
2021,MK,BG,652.2151219512185,724
2021,RU,LT,44.781325670497885,81
2021,BG,RO,949.9286923076912,1050
2021,RS,RO,770.681249810547,848.89
2021,GR,IT,492.1377777777777,493
2021,AL,GR,666.4657142857134,755
2021,RU,EE,703.0252887272738,731.7
2021,CH,IT,2154.321136363628,2819
2021,FI,SE,2715.263647058823,2757.4
2021,BG,MK,50.64542986425302,74
2021,CZ,SK,936.7602600704784,1057.58
2021,SK,CZ,2516.799914285711,2760.08
2021,LU,BE,274.1105975708501,284.47
2021,SK,HU,490.5312571428519,920.65
2021,TR,BG,612.998479532163,742
2021,ES,PT,3614.5854392592555,3787.28
2021,BY,UA,715.856868376068,829
2021,NO,DK,1122.1774866666665,1686.8
2021,IT,AT,262.6571136363633,282
2021,UA,SK,802.0686363990778,859.1
2021,DE,NL,4025.6545136841855,4580.11
2021,RO,UA,700.9343585526319,744.5
2021,HR,BA,1554.0402666666657,1615
2021,FR,BE,4382.0026594737055,5751.57
2021,RS,HR,389.1363999999987,569
2021,PL,SE,599.3977772727272,600.9
2021,BE,FR,3488.9151849206305,3871.59
2021,LU,DE,738.1513686956505,784.21
2021,FI,EE,682.437118181816,772.36
2021,BG,GR,241.6122774522771,276
2021,DE,NO,1404.950573833377,1405.76
2021,LT,RU,612.3766013071894,621
2021,RS,BG,854.3672047846875,934.28
2021,GR,MK,636.7768724279831,669
2021,GR,TR,739.6520634920624,782
2021,SE,PL,598.8518255555555,599.03
2021,TR,GR,229.51110356536404,275
2021,GR,AL,639.4989826839817,731
